dzo_to_eng,eng_to_dzo
"Scientists at the Stanford University School of Medicine announced on Monday that they were developing a new diagnostic tool that can be classified by cell type, which can be copied using a computer printer at a cost of US$1 per cent.",གཟའ་མིག་དམར་ལུ་ ཨིསི་ཊེན་ཕོཌ་གཙུག་ལག་སློབ་གྲྭ་སྨན་སློབ་གྲྭ་ལས་ཤེས་ཡོན་མཁས་མཆོག་ཚུ་གིས་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ སྣུམ་ཕྲན་དབྱེ་ཞིབ་འབད་ཚུགས་པའི་ གསལ་བཤད་གསརཔ་ཅིག་བཟོ་ཡོད་པའི་གསལ་བསྒྲགས་འབད་ཡི། འདི་ ཤོག་གྲངས་ཆུང་ཆུང་སྦེ་ སྐྲོག་ཚུགས་པའི་ ཤོག་ལེབ་འདི་ གཅིག་འབདན་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་བསྟུན་ཏེ་ ཤོག་གྲངས་དང་
"Leading researchers suggest that the product could help high-income countries with fewer than half the cure-eligible population for breast cancer-like diseases to identify cancer, cancers, and HIV-positive diseases more quickly than high-income countries.",ཞིབ་འཚོལ་འགོ་དཔོན་ཚུ་གིས་ཨ་ནཱི་གིས་འབྱོར་འབབ་དམའ་བའི་རྒྱལ་ཁབ་ཚུ་ནང་ནདཔ་ཚུ་ལུ་ཀེན་སར་ནད་འབུབ་ཨེ་ཡུསི་དང་སྨན་འབུ་ཧ་སག་སྦེ་འཐོབ་ཚུགས་ནི་མས་ཟེར་སླབ་མས། འདི་ནང་ཨོམ་ཀེན་སར་བཟུམ་ནད་གཞི་ཚུ་གི་གསོན་ལུས་གནས་ཚད་འདི་ཕྱུགཔོ་རྒྱལ་ཁབ་ཚུ་གི་ཕྱེད་ཀ་ཨིན།
JAS39 Sirpan crashed into the airport at around 10:30 am and forced commercial flights to be blocked from takeoff.,ཇེཨེས་༣༩སི་ གིརི་པེན་འདི་ ས་གནས་ཀྱི་དུས་ཚོད་ལས་དྲོ་པ་ཆུ་ཚོད་༩:༣༠ དེ་ཅིག་ཁར་གནམ་གྲུ་ཐང་ཅིག་གུ་བརྡུང་སྟེ་ཧིང་སངས་ས་འགྱོ་སྟེ་ གནམ་གྲུ་ཐང་འདི་ ཚོང་འབྲེལ་གྱི་འགྲུལ་འགྲུལ་ལུ་བཀག་ནུག།
"The pilot of the plane was identified as Chief of the Defence Staff, Dillochert Petawi.",གནམ་གྲུ་གཏང་མི་འདི་དམག་སྡེ་འགོ་ཁྲིདཔ་རྡོ་རྗེ་པད་དཀར་སྦེ་ངོས་འཛིན་འབད་ནུག།
Local media reported that the airport fire truck crashed while it was extinguishing the fire.,ས་གནས་ཀྱི་བརྡ་བརྒྱུད་ཚུ་གིས་གནམ་གྲུ་ཐང་གི་མེ་རྐྱེན་གྱི་སྣུམ་འཁོར་འདི་ལན་རྐྱབ་པའི་སྐབས་ཕར་ཚུར་འགྱེལ་འགྱོ་ཡི་ཟེར་སྙན་ཞུ་འབད་ནུག།
"Vidal, 28, has been with the Barsang team for three seasons, coming off the Sevilla football team.",སྐྱེས་ལོ་༢༨ ལང་མི་ཝི་ཌལ་འདི་གནམ་ལོ་གསུམ་གྱི་ཧེ་མ་སི་བི་ལཱ་ལས་བྷ་ར་ཀ་ནང་འཛུལ་ཡི།
Vidal has played 49 games for the club since moving to Catalans.,ཀ་ཊལ་ནའི་རྒྱལ་ས་ལྟེ་བ་ལུ་སྤོ་ཞིནམ་ལས་ཝི་ཌལ་གིས་སྡེ་ཚན་གྱི་དོན་ལུ་རྩེདམོ་༤༩ རྩེད་ནུག།
My parade started around 11am from White Hall in front of the police station to the Prime Minister's official residence on Downing Street.,འགྲེམ་སྟོན་འདི་ས་གནས་ཀྱི་དུས་ཚོད་ལས་ཆུ་ཚོད་ ༡༡:༠༠ དེ་ཅིག་ཁར་ (UTC ༡) ཝའི་ཊ་ཧཱལ་ལུ་ བློན་ཆེན་གྱི་གཞུང་འབྲེལ་སྡོད་གནས་ཌོ་ནིན་ཁྲོམ་ལམ་ལུ་ཁྲིམས་སྲུང་འགག་པ་གིས་སྲུང་རྒྱབ་འབད་ཡོད་པའི་འཛུལ་སྒོ་གི་གདོང་ཁ་ལུ་འགོ་བཙུགས་ནུག།
"By 11 o'clock, protesters had blocked the road northbound to White Hall.",ཆུ་ཚོད་ ༡༡:༠༠ གི་ཤུལ་ལས་རང་ངོ་རྒོལ་འབད་མི་ཚུ་གིས་ཝའི་ཊ་ཧཱལ་ནང་བྱང་ཕྱོགས་ཕྱོགས་ཀྱི་ཤིང་རྟ་འཁོར་ལོ་ནང་རྒྱུན་འགྲུལ་བཀག་ནུག།
"At 11:20 the police asked the protesters to retreat on the street, because they had to be released because many cars were blocked because they had the right to protest.",ཆུ་ཚོད་༡༡:༢༠ ལུ་ཁྲིམས་སྲུང་འགག་པ་གིས་ངོ་རྒོལ་འབད་མི་ཚུ་ལུ་ལོག་ལམ་ཁར་འགྱོ་ཟེར་སླབ་སྟེ་ཁོང་གིས་ངོ་རྒོལ་འབད་ནིའི་དབང་ཆ་དང་རྒྱུན་འགྲུལ་ཡར་སེང་འབད་མི་འདི་མཉམ་བསྡུར་འབད་དགོཔ་སྦེ་བཀོད་ནུག།
